second,Latitude,Longitude
266630165,35.5875713,51.2068479
266830014,35.5875738,51.206805
267048525,35.5875753,51.2067616
267248502,35.5875762,51.2067177
267430427,35.5875792,51.2066753
267630194,35.5875818,51.2066332
267830154,35.5875834,51.2065899
268030507,35.5875855,51.2065472
268248756,35.5875884,51.2065036
268472071,35.587591,51.2064598
268648631,35.5875932,51.2064157
268848687,35.5875959,51.2063716
269048755,35.5875992,51.2063279
269248647,35.5876032,51.2062846
269448693,35.5876074,51.2062413
269648658,35.5876118,51.2061983
269848686,35.5876169,51.2061554
270048794,35.5876224,51.2061125
270248730,35.5876276,51.2060697
270472054,35.5876335,51.2060268
270648188,35.5876389,51.2059834
270848620,35.5876442,51.2059399
271048774,35.5876494,51.2058964
271271599,35.5876549,51.205853
271472033,35.5876604,51.2058091
271672015,35.5876662,51.205766
271871546,35.5876724,51.205723
272048754,35.5876785,51.2056798
272248726,35.5876844,51.2056368
272448660,35.5876907,51.2055941
272648582,35.5876969,51.2055512
272848584,35.5877031,51.2055084
273049041,35.58771,51.2054662
273248687,35.587717,51.2054239
273430069,35.5877238,51.205381
273648581,35.5877307,51.2053385
273848732,35.5877379,51.2052962
274030617,35.5877452,51.2052541
274230029,35.5877527,51.2052116
274448794,35.5877607,51.2051693
274629991,35.5877699,51.2051279
274806694,35.5877797,51.2050863
275030532,35.5877903,51.2050449
275229997,35.5878017,51.2050038
275407003,35.5878142,51.2049631
275629736,35.5878287,51.2049232
275830158,35.5878453,51.2048847
276030577,35.5878633,51.2048475
276207044,35.5878828,51.2048122
276430278,35.5879039,51.2047786
276630099,35.5879266,51.2047464
276830027,35.5879507,51.2047162
277030525,35.5879757,51.2046872
277230035,35.588001,51.204659
277430059,35.5880271,51.2046327
277606722,35.5880542,51.2046076
277830054,35.5880819,51.2045836
278030573,35.5881104,51.2045611
278230173,35.5881395,51.20454
278430174,35.5881695,51.2045206
278630286,35.5882008,51.204503
278830061,35.5882328,51.2044872
279006998,35.5882653,51.2044733
279230042,35.5882985,51.2044616
279430065,35.588332,51.2044519
279630146,35.5883657,51.204444
279829799,35.5883998,51.2044372
280030525,35.5884343,51.2044319
280229796,35.5884689,51.2044289
280430283,35.5885037,51.2044275
280606744,35.5885388,51.2044277
